CO_MESORREGIAO,NO_MESORREGIAO,CO_MICRORREGIAO,NO_MICRORREGIAO
13,Vale do Paraíba Paulista,49,Campos do Jordão
13,Vale do Paraíba Paulista,54,Caraguatatuba
15,Metropolitana de São Paulo,60,Itapecerica da Serra
2,Ribeirão Preto,12,Franca
13,Vale do Paraíba Paulista,53,Paraibuna/Paraitinga
15,Metropolitana de São Paulo,61,São Paulo
8,Presidente Prudente,34,Dracena
1,São José do Rio Preto,2,Fernandópolis
2,Ribeirão Preto,10,São Joaquim da Barra
12,Macro Metropolitana Paulista,45,Piedade
1,São José do Rio Preto,8,Novo Horizonte
14,Litoral Sul Paulista,56,Itanhaém
1,São José do Rio Preto,7,Nhandeara
4,Norte Pioneiro Paranaense,15,Cornélio Procópio
10,Metropolitana de Curitiba,35,Cerro Azul
10,Metropolitana de Curitiba,39,Rio Negro
10,Metropolitana de Curitiba,37,Curitiba
2,Centro Ocidental Paranaense,4,Goioerê
1,Noroeste Paranaense,2,Umuarama
1,Noroeste Paranaense,1,Paranavaí
3,Norte Central Paranaense,7,Porecatu
7,Sudoeste Paranaense,25,Capanema
6,Oeste Paranaense,23,Cascavel
3,Norte Central Paranaense,6,Astorga
10,Metropolitana de Curitiba,38,Paranaguá
9,Sudeste Paranaense,34,São Mateus do Sul
3,Norte Central Paranaense,10,Apucarana
5,Centro Oriental Paranaense,20,Jaguariaíva
3,Norte Central Paranaense,13,Ivaiporã
2,Centro Ocidental Paranaense,5,Campo Mourão
4,Norte Pioneiro Paranaense,14,Assaí
6,Oeste Paranaense,22,Toledo
7,Sudoeste Paranaense,26,Francisco Beltrão
4,Norte Pioneiro Paranaense,16,Jacarezinho
9,Sudeste Paranaense,33,União da Vitória
8,Centro-Sul Paranaense,28,Pitanga
3,Norte Central Paranaense,12,Faxinal
7,Sudoeste Paranaense,27,Pato Branco
3,Norte Central Paranaense,11,Londrina
8,Centro-Sul Paranaense,29,Guarapuava
5,Centro Oriental Paranaense,21,Ponta Grossa
4,Norte Pioneiro Paranaense,18,Wenceslau Braz
6,Oeste Paranaense,24,Foz do Iguaçu
1,Noroeste Paranaense,3,Cianorte
8,Centro-Sul Paranaense,30,Palmas
4,Norte Pioneiro Paranaense,17,Ibaiti
3,Norte Central Paranaense,8,Floraí
9,Sudeste Paranaense,31,Prudentópolis
5,Centro Oriental Paranaense,19,Telêmaco Borba
9,Sudeste Paranaense,32,Irati
10,Metropolitana de Curitiba,36,Lapa
3,Norte Central Paranaense,9,Maringá
3,Serrana,9,Curitibanos
1,Oeste Catarinense,3,Xanxerê
